url;pelmorex_id;name;province;coords
https://www.eltiempo.es/herves.html;ESXX7933;Herves;A Coruña;(43.1962847, -8.3613115)
https://www.eltiempo.es/brandeso.html;ESXX9821;Brandeso;A Coruña;(42.8878778, -8.1779552)
https://www.eltiempo.es/barciela.html;ESXX3936;Barciela;A Coruña;(42.9548051, -8.4400405)
https://www.eltiempo.es/as-pontes-de-garcia-rodriguez.html;ESXX20945;As Pontes de GarcÃ­a RodrÃ­guez;A Coruña;(43.4502183, -7.853109)
https://www.eltiempo.es/choupana.html;ESXX13236;Choupana;A Coruña;(42.8688036, -8.5601127)
https://www.eltiempo.es/varelas.html;ESXX12298;Varelas;A Coruña;(42.90063525, -8.070410932906025)
https://www.eltiempo.es/entrecruces.html;ESXX10368;Entrecruces;A Coruña;(43.133221899999995, -8.67981784390971)
https://www.eltiempo.es/xende.html;ESXX10573;Xende;A Coruña;(43.1625827, -8.5844859)
https://www.eltiempo.es/castellana.html;ESXX10010;Castellana;A Coruña;(43.179881449999996, -8.011977534468487)
https://www.eltiempo.es/medin.html;ESXX11130;MedÃ­n;A Coruña;(42.9800521, -8.2747286)
https://www.eltiempo.es/mens.html;ESXX13641;Mens;A Coruña;(43.305033300000005, -8.88933962926824)
https://www.eltiempo.es/as-somozas.html;ESXX20940;As Somozas;A Coruña;(43.5349754, -7.9433899)
https://www.eltiempo.es/lucin.html;ESXX11039;LucÃ­n;A Coruña;(42.9746441, -9.0339702)
https://www.eltiempo.es/o-pindo.html;ESXX13311;O Pindo;A Coruña;(42.8895124, -9.1216531)
https://www.eltiempo.es/sembra.html;ESXX11999;Sembra;A Coruña;(42.964673, -9.2175843)
https://www.eltiempo.es/sigueiro.html;ESXX3149;SigÃ¼eiro;A Coruña;(42.9687859, -8.4417454)
https://www.eltiempo.es/ouces.html;ESXX11381;Ouces;A Coruña;(43.3374678, -8.241400214397387)
https://www.eltiempo.es/a-coruna/sobrado.html;ESXX20941;Sobrado;A Coruña;(43.0404996, -8.02238)
